20,Naughty Boy featuring Beyoncé and Arrow Benjamin,7,14,275,2015
21,Coldplay,1,8,203,2015
22,Charlie Puth feat. Meghan Trainor,4,11,206,2015
23,Kygo feat. Ella Henderson,10,11,286,2015
24,Kensington,6,19,168,2015
25,Diggy Dex ft. JW Roy,2,10,185,2015
26,Years & Years,12,22,168,2015
27,Axwell & Ingrosso,16,6,452,2015
28,Hailee Steinfeld,3,26,111,2015
29,Zara Larsson & MNEK,2,9,182,2015
30,Felix Jaehn feat. Jasmine Thompson,27,1,872,2015
31,One Direction,4,31,41,2015
32,Omi,7,24,103,2015
33,Dyna & Firstman & Lil Kleine & Bollebof,7,19,116,2015
34,Felix Jaehn feat. Polina,1,30,29,2015
35,Nicky Jam & Enrique Iglesias,24,1,693,2015
36,James Bay,1,29,44,2015
37,Anouk,9,16,145,2015
38,Avicii,10,17,159,2015
39,First Aid Kit,6,33,32,2015
40,Madcon & Ray Dalton,25,3,583,2015
1,
1,Adele,1,1,392,2015
2,Justin Bieber,9,1,639,2015
3,Zara Larsson,9,3,560,2015
4,Sigala,8,2,548,2015
5,Mr Polska & Ronnie Flex,4,3,390,2015
6,Calvin Harris + Disciples,14,1,716,2015
7,Lost Frequencies feat. Janieck Devy,16,3,730,2015
8,Ellie Goulding,5,8,366,2015
9,Robin Schulz (feat. Francesco Yates),5,4,419,2015
10,Sam Hunt,8,9,441,2015
11,R.City feat. Adam Levine,15,4,568,2015
12,Shawn Mendes,2,4,367,2015
13,The Weeknd,19,2,719,2015
14,Naughty Boy featuring Beyoncé and Arrow Benjamin,4,14,275,2015
15,Shaggy feat. Mohombi, Faydee, Costi,10,8,460,2015
16,Kygo feat. Ella Henderson,7,11,286,2015
17,Axwell & Ingrosso,13,6,452,2015
18,Marco Borsato,1,14,202,2015
19,Felix Jaehn feat. Jasmine Thompson,24,1,872,2015
20,Dyna & Firstman & Lil Kleine & Bollebof,4,19,116,2015
21,Drake,2,9,274,2015
22,Adam Lambert,23,6,647,2015
23,Kensington,3,19,168,2015
24,Justin Bieber,1,1,373,2015
25,Anouk,6,16,145,2015
26,Omi,4,24,103,2015
27,Avicii,7,17,159,2015
28,Nicky Jam & Enrique Iglesias,21,1,693,2015
29,Years & Years,9,22,168,2015
30,Alvaro Soler,15,12,320,2015
31,Madcon & Ray Dalton,22,3,583,2015
32,Sam Feldt,14,19,230,2015
33,Dotan,6,31,43,2015
34,First Aid Kit,3,33,32,2015
35,Major Lazer x DJ Snake feat. Mø,33,1,1076,2015
36,One Direction,12,15,217,2015
37,One Direction,1,31,41,2015
38,P!nk,2,37,9,2015
39,Sam Smith,4,35,18,2015
40,Charlie Puth feat. Meghan Trainor,1,11,206,2015
1,Justin Bieber,8,1,639,2015
2,Sigala,7,2,548,2015
3,Mr Polska & Ronnie Flex,3,3,390,2015
4,Zara Larsson,8,3,560,2015
5,Calvin Harris + Disciples,13,1,716,2015
6,Lost Frequencies feat. Janieck Devy,15,3,730,2015
7,R.City feat. Adam Levine,14,4,568,2015
8,Ellie Goulding,4,8,366,2015
9,Sam Hunt,7,9,441,2015
10,Robin Schulz (feat. Francesco Yates),4,4,419,2015
